h3_id,timestamp,current_pm25,pm25_observed_flag,pm25_interpolated_flag,temperature_2m,relative_humidity_2m,wind_speed_10m,wind_direction_10m,precipitation,wind_direction_sin,wind_direction_cos,fire_count_nearby,distance_to_nearest_fire_km,road_density_km_per_sqkm,primary_secondary_road_length_m,building_count,built_up_ratio,industrial_landuse_area_sqm,commercial_landuse_area_sqm,residential_landuse_area_sqm,green_area_sqm,poi_count,area_sqkm,centroid_lat,centroid_lon,pm25_lag_1h,pm25_lag_3h,pm25_lag_24h,hour,day_of_week,month,pm25_t_plus_12h
8760145b0ffffff,2026-04-15 14:00:00+00:00,72.03585903950373,0,1,31.8,28,11.3,136.0,0.0,0.6946583704589971,-0.7193398003386513,0,,18.236738384288557,9338.34191414403,701,0.026992613224742616,25194.450903872108,248125.5464822102,509322.6508870106,47340.746509702614,516,5.300264015470445,12.99351586765095,77.57380109673092,,,,14,2,4,50.349717014749835
8760145b0ffffff,2026-04-15 15:00:00+00:00,65.92434509898139,0,1,30.1,35,11.1,134.0,0.0,0.7193398003386511,-0.6946583704589974,0,,18.236738384288557,9338.34191414403,701,0.026992613224742616,25194.450903872108,248125.5464822102,509322.6508870106,47340.746509702614,516,5.300264015470445,12.99351586765095,77.57380109673092,72.03585903950373,,,15,2,4,51.91375910219885
8760145b0ffffff,2026-04-15 16:00:00+00:00,61.92624683774986,0,1,29.1,34,14.0,127.0,0.0,0.7986355100472927,-0.6018150231520484,0,,18.236738384288557,9338.34191414403,701,0.026992613224742616,25194.450903872108,248125.5464822102,509322.6508870106,47340.746509702614,516,5.300264015470445,12.99351586765095,77.57380109673092,65.92434509898139,,,16,2,4,56.39602427750065
8760145b0ffffff,2026-04-15 17:00:00+00:00,49.77799119488517,0,1,28.4,37,11.3,126.0,0.0,0.8090169943749475,-0.587785252292473,0,,18.236738384288557,9338.34191414403,701,0.026992613224742616,25194.450903872108,248125.5464822102,509322.6508870106,47340.746509702614,516,5.300264015470445,12.99351586765095,77.57380109673092,61.92624683774986,72.03585903950373,,17,2,4,68.06896469935351
8760145b0ffffff,2026-04-15 18:00:00+00:00,51.25834076463862,0,1,27.7,40,9.6,133.0,0.0,0.7313537016191706,-0.6819983600624984,0,,18.236738384288557,9338.34191414403,701,0.026992613224742616,25194.450903872108,248125.5464822102,509322.6508870106,47340.746509702614,516,5.300264015470445,12.99351586765095,77.57380109673092,49.77799119488517,65.92434509898139,,18,2,4,80.96092169972776
8760145b0ffffff,2026-04-15 19:00:00+00:00,44.820462583139175,0,1,27.2,43,8.4,125.0,0.0,0.8191520442889917,-0.5735764363510462,0,,18.236738384288557,9338.34191414403,701,0.026992613224742616,25194.450903872108,248125.5464822102,509322.6508870106,47340.746509702614,516,5.300264015470445,12.99351586765095,77.57380109673092,51.25834076463862,61.92624683774986,,19,2,4,72.04375300498873
8760145b0ffffff,2026-04-15 20:00:00+00:00,41.25702418895268,0,1,26.5,46,7.1,153.0,0.0,0.45399049973954686,-0.8910065241883678,0,,18.236738384288557,9338.34191414403,701,0.026992613224742616,25194.450903872108,248125.5464822102,509322.6508870106,47340.746509702614,516,5.300264015470445,12.99351586765095,77.57380109673092,44.820462583139175,49.77799119488517,,20,2,4,81.47962233019886
8760145b0ffffff,2026-04-15 21:00:00+00:00,37.855267599610634,0,1,25.9,48,8.0,157.0,0.0,0.39073112848927377,-0.9205048534524404,0,,18.236738384288557,9338.34191414403,701,0.026992613224742616,25194.450903872108,248125.5464822102,509322.6508870106,47340.746509702614,516,5.300264015470445,12.99351586765095,77.57380109673092,41.25702418895268,51.25834076463862,,21,2,4,79.5332031007069
8760145b0ffffff,2026-04-15 22:00:00+00:00,43.022505245539115,0,1,25.1,49,8.0,174.0,0.0,0.10452846326765373,-0.9945218953682733,0,,18.236738384288557,9338.34191414403,701,0.026992613224742616,25194.450903872108,248125.5464822102,509322.6508870106,47340.746509702614,516,5.300264015470445,12.99351586765095,77.57380109673092,37.855267599610634,44.820462583139175,,22,2,4,84.76570291874688
8760145b0ffffff,2026-04-15 23:00:00+00:00,41.79581784204839,0,1,24.0,55,8.8,197.0,0.0,-0.29237170472273677,-0.9563047559630354,0,,18.236738384288557,9338.34191414403,701,0.026992613224742616,25194.450903872108,248125.5464822102,509322.6508870106,47340.746509702614,516,5.300264015470445,12.99351586765095,77.57380109673092,43.022505245539115,41.25702418895268,,23,2,4,90.86519155455859
8760145b0ffffff,2026-04-16 00:00:00+00:00,40.32601833765614,0,1,22.8,82,6.3,211.0,0.0,-0.5150380749100542,-0.8571673007021123,0,,18.236738384288557,9338.34191414403,701,0.026992613224742616,25194.450903872108,248125.5464822102,509322.6508870106,47340.746509702614,516,5.300264015470445,12.99351586765095,77.57380109673092,41.79581784204839,37.855267599610634,,0,3,4,85.60803100391118
